keyword,target_place_type,priority,is_active
방탈출,ACTIVITY,100,true
보드게임,ACTIVITY,100,true
보드카페,ACTIVITY,100,true
키즈카페,ACTIVITY,100,true
만화카페,ACTIVITY,100,true
VR,ACTIVITY,100,true
볼링,ACTIVITY,100,true
클라이밍,ACTIVITY,100,true
스크린골프,ACTIVITY,100,true
노래방,ACTIVITY,100,true
오락실,ACTIVITY,100,true
PC방,ACTIVITY,100,true
공방,ACTIVITY,100,true
원데이클래스,ACTIVITY,100,true
브런치,MEAL,90,true
다이닝,MEAL,90,true
레스토랑,MEAL,90,true
비스트로,MEAL,90,true
와인바,MEAL,90,true
이자카야,MEAL,90,true
분식,MEAL,90,true
베이커리,CAFE,80,true
로스터리,CAFE,80,true
티룸,CAFE,80,true
찻집,CAFE,80,true
젤라또,CAFE,80,true
아이스크림,CAFE,80,true
