provider,code,name,search_type,category_group_code,query,place_type,is_active
KAKAO,CAFE,카페,CATEGORY,CE7,,CAFE,true
KAKAO,MEAL,음식점,CATEGORY,FD6,,MEAL,true
KAKAO,CULTURE,문화시설,CATEGORY,CT1,,ACTIVITY,true
KAKAO,ATTRACTION,관광명소,CATEGORY,AT4,,ACTIVITY,true
KAKAO,ESCAPE_ROOM,방탈출,KEYWORD,,방탈출,ACTIVITY,true
KAKAO,BOARD_GAME,보드게임,KEYWORD,,보드게임,ACTIVITY,true
KAKAO,KIDS_CAFE,키즈카페,KEYWORD,,키즈카페,ACTIVITY,true
KAKAO,EXHIBITION,전시,KEYWORD,,전시,ACTIVITY,true
KAKAO,POPUP,팝업,KEYWORD,,팝업,ACTIVITY,true
KAKAO,BOOKSTORE,서점,KEYWORD,,서점,ACTIVITY,true
KAKAO,SHOPPING,쇼핑,KEYWORD,,쇼핑,ACTIVITY,true
KAKAO,BAKERY,베이커리,KEYWORD,,베이커리,CAFE,true
KAKAO,DESSERT,디저트,KEYWORD,,디저트,CAFE,true
KAKAO,TRADITIONAL_MARKET,전통시장,KEYWORD,,전통시장,ACTIVITY,true
KAKAO,PARK,공원,KEYWORD,,공원,ACTIVITY,true
KAKAO,MOVIE_THEATER,영화관,KEYWORD,,영화관,ACTIVITY,true
KAKAO,PERFORMANCE_VENUE,공연장,KEYWORD,,공연장,ACTIVITY,true
KAKAO,THEATER,연극,KEYWORD,,연극,ACTIVITY,true
KAKAO,WORKSHOP,공방,KEYWORD,,공방,ACTIVITY,true
KAKAO,PC_CAFE,PC방,KEYWORD,,PC방,ACTIVITY,true
KAKAO,ARCADE,오락실,KEYWORD,,오락실,ACTIVITY,true
KAKAO,VINTAGE,빈티지,KEYWORD,,빈티지,ACTIVITY,true
KAKAO,SELECT_SHOP,편집샵,KEYWORD,,편집샵,ACTIVITY,true
