code,display_name,is_active,display_order
EXHIBITION,전시,true,1
POPUP,팝업,true,2
SHOPPING,쇼핑,true,3
MARKET,시장 구경,true,4
WALK,산책,true,5
PARK,공원,true,6
MOVIE,영화,true,7
PERFORMANCE,공연,true,8
BOOKSTORE,서점,true,9
WORKSHOP,공방,true,10
GAME,게임,true,11
BOARD_GAME,보드게임,true,12
ESCAPE_ROOM,방탈출,true,13
CAFE,카페,true,14
BREAD,빵,true,15
DESSERT,디저트,true,16
BRUNCH,브런치,true,17
KOREAN_FOOD,한식,true,18
JAPANESE_FOOD,일식,true,19
WESTERN_FOOD,양식,true,20
ASIAN_FOOD,아시안 음식,true,21
QUIET,조용한,true,22
LIVELY,활기찬,true,23
ROMANTIC,로맨틱한,true,24
TRENDY,힙한,true,25
COZY,아늑한,true,26
INDOOR,실내,true,27
OUTDOOR,야외,true,28
SCENIC_VIEW,뷰 좋은,true,29
